Date,Stock,Sector,Price,Quantity
2026-08-01,RELIANCE,Energy,2450,20
2026-08-01,TCS,IT,3450,15
2026-08-01,HDFCBANK,Banking,1780,25
2026-08-01,INFY,IT,1620,20
2026-08-01,ITC,FMCG,470,30
2026-08-02,RELIANCE,Energy,2480,20
2026-08-02,TCS,IT,3490,15
2026-08-02,HDFCBANK,Banking,1765,25
2026-08-02,INFY,IT,1640,20
2026-08-02,ITC,FMCG,478,30
2026-08-03,RELIANCE,Energy,2510,20
2026-08-03,TCS,IT,3525,15
2026-08-03,HDFCBANK,Banking,1805,25
2026-08-03,INFY,IT,1675,20
2026-08-03,ITC,FMCG,475,30
2026-08-04,RELIANCE,Energy,2490,20
2026-08-04,TCS,IT,3500,15
2026-08-04,HDFCBANK,Banking,1820,25
2026-08-04,INFY,IT,1660,20
2026-08-04,ITC,FMCG,482,30
2026-08-05,RELIANCE,Energy,2550,20
2026-08-05,TCS,IT,3560,15
2026-08-05,HDFCBANK,Banking,1845,25
2026-08-05,INFY,IT,1700,20
2026-08-05,ITC,FMCG,490,30
2026-08-06,RELIANCE,Energy,2580,20
2026-08-06,TCS,IT,3600,15
2026-08-06,HDFCBANK,Banking,1830,25
2026-08-06,INFY,IT,1685,20
2026-08-06,ITC,FMCG,487,30
2026-08-07,RELIANCE,Energy,2610,20
2026-08-07,TCS,IT,3640,15
2026-08-07,HDFCBANK,Banking,1870,25
2026-08-07,INFY,IT,1720,20
2026-08-07,ITC,FMCG,495,30
