Transaction_ID,Date,Account_ID,Payment_Method,Category,Amount
T001,2026-07-01,ACC101,UPI,Grocery,637
T002,2026-07-01,ACC102,Card,Shopping,774
T003,2026-07-01,ACC103,Bank Transfer,Food,911
T004,2026-07-02,ACC104,UPI,Electronics,1048
T005,2026-07-02,ACC105,Card,Travel,1185
T006,2026-07-02,ACC106,Bank Transfer,Business,1322
T007,2026-07-03,ACC107,UPI,Investment,1459
T008,2026-07-03,ACC108,Card,Rent,1596
T009,2026-07-03,ACC109,Bank Transfer,Grocery,1733
T010,2026-07-04,ACC110,UPI,Shopping,1870
T011,2026-07-04,ACC101,Card,Food,2007
T012,2026-07-04,ACC102,Bank Transfer,Electronics,2144
T013,2026-07-05,ACC103,UPI,Travel,2281
T014,2026-07-05,ACC104,Card,Business,2418
T015,2026-07-05,ACC105,Bank Transfer,Investment,2555
T016,2026-07-06,ACC106,UPI,Rent,2692
T017,2026-07-06,ACC107,Card,Grocery,2829
T018,2026-07-06,ACC108,Bank Transfer,Shopping,2966
T019,2026-07-07,ACC109,UPI,Food,3103
T020,2026-07-07,ACC110,Card,Electronics,3240
T021,2026-07-07,ACC101,Bank Transfer,Travel,3377
T022,2026-07-08,ACC102,UPI,Business,3514
T023,2026-07-08,ACC103,Card,Investment,3651
T024,2026-07-08,ACC104,Bank Transfer,Rent,3788
T025,2026-07-09,ACC105,UPI,Grocery,3925
T026,2026-07-09,ACC106,Card,Shopping,4062
T027,2026-07-09,ACC107,Bank Transfer,Food,4199
T028,2026-07-10,ACC108,UPI,Electronics,4336
T029,2026-07-10,ACC109,Card,Travel,4473
T030,2026-07-10,ACC110,Bank Transfer,Business,4610
T031,2026-07-11,ACC101,UPI,Investment,4747
T032,2026-07-11,ACC102,Card,Rent,4884
T033,2026-07-11,ACC103,Bank Transfer,Grocery,5021
T034,2026-07-12,ACC104,UPI,Shopping,5158
T035,2026-07-12,ACC105,Card,Food,5295
T036,2026-07-12,ACC106,Bank Transfer,Electronics,5432
T037,2026-07-13,ACC107,UPI,Travel,5569
T038,2026-07-13,ACC108,Card,Business,5706
T039,2026-07-13,ACC109,Bank Transfer,Investment,5843
T040,2026-07-14,ACC110,UPI,Rent,5980
T041,2026-07-14,ACC101,Card,Grocery,6117
T042,2026-07-14,ACC102,Bank Transfer,Shopping,6254
T043,2026-07-15,ACC103,UPI,Food,6391
T044,2026-07-15,ACC104,Card,Electronics,6528
T045,2026-07-15,ACC105,Bank Transfer,Travel,6665
T046,2026-07-16,ACC106,UPI,Business,6802
T047,2026-07-16,ACC107,Card,Investment,6939
T048,2026-07-16,ACC108,Bank Transfer,Rent,7076
T049,2026-07-17,ACC109,UPI,Grocery,7213
T050,2026-07-17,ACC110,Card,Shopping,7350
T051,2026-07-17,ACC101,Bank Transfer,Food,7487
T052,2026-07-18,ACC102,UPI,Electronics,7624
T053,2026-07-18,ACC103,Card,Travel,7761
T054,2026-07-18,ACC104,Bank Transfer,Business,7898
T055,2026-07-19,ACC105,UPI,Investment,8035
T056,2026-07-19,ACC106,Card,Rent,8172
T057,2026-07-19,ACC107,Bank Transfer,Grocery,8309
T058,2026-07-20,ACC108,UPI,Shopping,8446
T059,2026-07-20,ACC109,Card,Food,8583
T060,2026-07-20,ACC110,Bank Transfer,Electronics,8720
T061,2026-07-21,ACC101,UPI,Travel,8857
T062,2026-07-21,ACC102,Card,Business,8994
T063,2026-07-21,ACC103,Bank Transfer,Investment,9131
T064,2026-07-22,ACC104,UPI,Rent,9268
T065,2026-07-22,ACC105,Card,Grocery,9405
T066,2026-07-22,ACC106,Bank Transfer,Shopping,9542
T067,2026-07-23,ACC107,UPI,Food,9679
T068,2026-07-23,ACC108,Card,Electronics,9816
T069,2026-07-23,ACC109,Bank Transfer,Travel,9953
T070,2026-07-24,ACC110,UPI,Business,10090
T071,2026-07-24,ACC101,Card,Investment,10227
T072,2026-07-24,ACC102,Bank Transfer,Rent,10364
T073,2026-07-25,ACC103,UPI,Grocery,10501
T074,2026-07-25,ACC104,Card,Shopping,10638
T075,2026-07-25,ACC105,Bank Transfer,Food,10775
T076,2026-07-26,ACC106,UPI,Electronics,10912
T077,2026-07-26,ACC107,Card,Travel,11049
T078,2026-07-26,ACC108,Bank Transfer,Business,11186
T079,2026-07-27,ACC109,UPI,Investment,11323
T080,2026-07-27,ACC110,Card,Rent,11460
T081,2026-07-27,ACC101,Bank Transfer,Grocery,11597
T082,2026-07-28,ACC102,UPI,Shopping,11734
T083,2026-07-28,ACC103,Card,Food,11871
T084,2026-07-28,ACC104,Bank Transfer,Electronics,12008
T085,2026-07-29,ACC105,UPI,Travel,12145
T086,2026-07-29,ACC106,Card,Business,12282
T087,2026-07-29,ACC107,Bank Transfer,Investment,12419
T088,2026-07-30,ACC108,UPI,Rent,12556
T089,2026-07-30,ACC109,Card,Grocery,12693
T090,2026-07-30,ACC110,Bank Transfer,Shopping,12830
T025,2026-07-09,ACC105,UPI,Grocery,3925
