Date,City,Temperature,Weather
2026-06-01,Delhi,38,Sunny
2026-06-02,Delhi,40,Sunny
2026-06-03,Delhi,36,Rainy
2026-06-04,Delhi,39,Sunny
2026-06-05,Delhi,35,Cloudy
2026-06-06,Delhi,41,Sunny
2026-06-07,Delhi,37,Rainy
2026-06-01,Mumbai,31,Rainy
2026-06-02,Mumbai,30,Cloudy
2026-06-03,Mumbai,29,Rainy
2026-06-04,Mumbai,32,Sunny
2026-06-05,Mumbai,33,Sunny
2026-06-06,Mumbai,31,Rainy
2026-06-07,Mumbai,30,Cloudy
2026-06-01,Chandigarh,34,Sunny
2026-06-02,Chandigarh,35,Sunny
2026-06-03,Chandigarh,32,Rainy
2026-06-04,Chandigarh,36,Sunny
2026-06-05,Chandigarh,33,Cloudy
2026-06-06,Chandigarh,37,Sunny
2026-06-07,Chandigarh,31,Rainy
2026-06-01,Bangalore,27,Cloudy
2026-06-02,Bangalore,28,Sunny
2026-06-03,Bangalore,26,Rainy
2026-06-04,Bangalore,27,Rainy
2026-06-05,Bangalore,29,Sunny
2026-06-06,Bangalore,28,Cloudy
2026-06-07,Bangalore,27,Sunny
2026-06-01,Jaipur,39,Sunny
2026-06-02,Jaipur,41,Sunny
2026-06-03,Jaipur,38,Sunny
2026-06-04,Jaipur,42,Sunny
2026-06-05,Jaipur,40,Cloudy
2026-06-06,Jaipur,43,Sunny
2026-06-07,Jaipur,39,Rainy
